spec	method	path	operation_id	reason
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemLots/{itemLotsUniqID}/child/itemSerialsForLot	getall_inventoryBalanceTransactions-transactionLines-itemLots-itemSerialsForLot	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemLots/{itemLotsUniqID}/child/itemSerialsForLot	create_inventoryBalanceTransactions-transactionLines-itemLots-itemSerialsForLot	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemLots/{itemLotsUniqID}/child/itemSerialsForLot/{itemSerialsForLotUniqID}	get_inventoryBalanceTransactions-transactionLines-itemLots-itemSerialsForLot	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemLots/{itemLotsUniqID}/child/itemSerialsForLot/{itemSerialsForLotUniqID}/child/dffForItemSerialsForLot	getall_inventoryBalanceTransactions-transactionLines-itemLots-itemSerialsForLot-dffForItemSerialsForLot	child depth 4 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemLots/{itemLotsUniqID}/child/itemSerialsForLot/{itemSerialsForLotUniqID}/child/dffForItemSerialsForLot	create_inventoryBalanceTransactions-transactionLines-itemLots-itemSerialsForLot-dffForItemSerialsForLot	child depth 4 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemLots/{itemLotsUniqID}/child/itemSerialsForLot/{itemSerialsForLotUniqID}/child/dffForItemSerialsForLot/{dffForItemSerialsForLotUniqID}	get_inventoryBalanceTransactions-transactionLines-itemLots-itemSerialsForLot-dffForItemSerialsForLot	child depth 4 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemSerials/{itemSerialsUniqID}/child/dffForItemSerials	getall_inventoryBalanceTransactions-transactionLines-itemSerials-dffForItemSerials	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemSerials/{itemSerialsUniqID}/child/dffForItemSerials	create_inventoryBalanceTransactions-transactionLines-itemSerials-dffForItemSerials	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryBalanceTransactions/{inventoryBalanceTransactionsUniqID}/child/transactionLines/{transactionLinesUniqID}/child/itemSerials/{itemSerialsUniqID}/child/dffForItemSerials/{dffForItemSerialsUniqID}	get_inventoryBalanceTransactions-transactionLines-itemSerials-dffForItemSerials	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryCompletedTransactions/{TransactionId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs	getall_inventoryCompletedTransactions-lots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryCompletedTransactions/{TransactionId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs/{serialAttributeDFFsUniqID}	get_inventoryCompletedTransactions-lots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryCompletedTransactions/{TransactionId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs	getall_inventoryCompletedTransactions-lots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryCompletedTransactions/{TransactionId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs/{serialStandardDFFsUniqID}	get_inventoryCompletedTransactions-lots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryConsumptionAdvices/{inventoryConsumptionAdvicesUniqID}/child/consumptionAdviceLines/{ConsumptionLineId}/child/consumptionAdviceLots/{consumptionAdviceLotsUniqID}/child/consumptionAdviceLotsAndSerials	getall_inventoryConsumptionAdvices-consumptionAdviceLines-consumptionAdviceLots-consumptionAdviceLotsAndSerials	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryConsumptionAdvices/{inventoryConsumptionAdvicesUniqID}/child/consumptionAdviceLines/{ConsumptionLineId}/child/consumptionAdviceLots/{consumptionAdviceLotsUniqID}/child/consumptionAdviceLotsAndSerials/{consumptionAdviceLotsAndSerialsUniqID}	get_inventoryConsumptionAdvices-consumptionAdviceLines-consumptionAdviceLots-consumptionAdviceLotsAndSerials	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryConsumptionAdvices/{inventoryConsumptionAdvicesUniqID}/child/consumptionAdviceLines/{ConsumptionLineId}/child/consumptionAdviceLots/{consumptionAdviceLotsUniqID}/child/consumptionAdviceLotsAndSerials/{consumptionAdviceLotsAndSerialsUniqID}/child/VendorSerialNumber	getall_inventoryConsumptionAdvices-consumptionAdviceLines-consumptionAdviceLots-consumptionAdviceLotsAndSerials-VendorSerialNumber	child depth 4 > 2
